road_SPREAD,road_Rolling 3P,road_Rolling TOT,road_Rolling ST,road_Rolling TO,road_Rolling BL,road_Rolling PTS,road_Rolling FG%,road_Rolling FT%,home_Rolling 3P,home_Rolling TOT,home_Rolling ST,home_Rolling TO,home_Rolling BL,home_Rolling PTS,home_Rolling FG%,home_Rolling FT%,home team win
6.5,9.4,26.6,9.2,14.4,5,113.2,0.477663503,0.724035075,11,28.6,8.6,15.8,3.8,104.8,0.501633162,0.771443308,1
13.5,10.2,22.4,6.2,14.8,5.6,100.8,0.41617462,0.729285714,8.4,17.6,6.8,18.6,4.6,109.4,0.498713398,0.712208651,0
3,4.2,17.8,7.4,13,6.2,90.2,0.421881471,0.645434174,6.4,16.4,5.2,14.6,3.2,94,0.433487069,0.702971658,0
-8.5,8.6,21.4,6,17.6,10.4,95.4,0.452436336,0.747334369,4.8,15.8,8.8,18.6,5.4,89.4,0.45440052,0.784296949,0
-5.5,8.4,20,8.4,16.6,5.4,103.4,0.474790924,0.6961735,5.8,17.6,10.2,15.2,3.8,90.6,0.410579798,0.781354724,0
3,7.2,23.8,9.2,19.2,3.8,104.4,0.471732527,0.662785863,4,17.6,6.4,19.4,3.8,90,0.41614079,0.694814815,0
4.5,9.8,24,10,15.6,3.6,110,0.459246916,0.83510352,7,22.8,10.4,15.4,2.8,102.8,0.406217862,0.788802108,1
9.5,10.6,23,6.2,15.8,5.6,97.4,0.404112909,0.747380952,6.4,21,9.2,14,8.8,96.4,0.432726605,0.815500289,1
6,12.2,27.8,10.6,20,7.2,110.8,0.504001916,0.715915679,6.4,24.2,7,13.8,4.8,99.6,0.475608066,0.71952381,1
-2.5,8.6,18.6,9.2,17.4,5.4,97.4,0.457136782,0.715909091,4.2,16.2,7.8,18.4,3.6,85,0.383825079,0.689481481,0
-9,6.6,16.6,4.8,14.2,3.2,92.2,0.424127322,0.773623832,7.4,20.4,7.2,17.2,5,103.8,0.476889642,0.707207982,0
-6.5,8.6,26.8,10.8,13.2,5.4,105.2,0.467549461,0.674006231,8.4,22,6.2,16.6,8,94.2,0.44896938,0.772334369,0
1,6.2,22.8,8,16.2,5.4,98.6,0.449697044,0.746392573,7,24,7,19,5.2,100.4,0.459470622,0.651674752,1
-8,6.6,17.8,10.6,15.6,4,86.8,0.393913132,0.788917749,4.6,16.6,9,16.4,5,90.2,0.42900977,0.807904376,0
-13,9.8,28.8,7.8,15.4,3,103.8,0.505897637,0.746991897,9.4,25.6,8.6,14.6,4.4,112,0.477498459,0.772896359,0
-2.5,8,17.6,8.4,18.4,4.8,109.8,0.479301231,0.714131728,10.8,24.2,10.4,20.8,6.2,100.6,0.478715312,0.719393939,0
-3,5.2,21.8,7.2,17.4,3.2,96.6,0.465896488,0.777629038,9.6,22,10.4,15,4.6,108,0.442738979,0.81010352,0
2,10,24.6,4.8,13.4,5.6,104.8,0.458288106,0.776092962,7.2,18.4,9,13.2,3.6,93.8,0.412807169,0.821689959,0
-3,5.2,23,8.2,13.2,4.2,94.6,0.448825921,0.69452381,8.2,19,9.4,15.8,6,93.8,0.442088301,0.764887003,0
8.5,11.8,25.6,9.4,16,4,105,0.440716304,0.720757919,5.2,19,9.4,17,5.6,102.2,0.435831515,0.828149358,1
-1.5,6,22.6,9.8,12.6,9.4,97.6,0.440082927,0.808140982,9.6,19.2,9.8,18.4,5,99.4,0.449907867,0.716603535,1
-4,7,22.6,10.6,15.4,3.4,102,0.414352693,0.797429559,10.2,23,5.6,15.4,5.6,95.6,0.402961223,0.725769231,0
-2,8.2,28.6,9.4,12.2,5.6,104.2,0.465736596,0.660896988,4.2,17.6,6.6,14.4,6.6,91.8,0.430127086,0.68210084,0
6.5,4.6,22,7.6,17.8,3.6,99.4,0.488354634,0.822962371,7.8,23,7,16,6.2,94.4,0.455755095,0.755667702,1
-6.5,6.6,23.4,7.8,13.4,5,100.4,0.475869594,0.725,8,23.6,7.4,19,4.6,103.6,0.452292458,0.725587795,0
1.5,7,20.6,7.6,17,4.2,99.6,0.475572569,0.696096871,5.8,18.8,8.8,15.4,4.6,92.8,0.442906872,0.821062271,1
8.5,8.4,20.6,10.8,15.8,5.8,95.4,0.407918734,0.795187341,4.2,22.4,8,18.2,4.6,91.6,0.43302731,0.828786846,1
7,7.2,18.2,5.4,14.2,2.8,96.2,0.429603773,0.831751911,7.2,18.4,8.2,17.6,5,106,0.475894136,0.70672432,1
-2.5,8.4,20,5.6,16,6,98.4,0.43081499,0.737815126,3.8,16.2,8.6,17.2,4.4,86.4,0.399195591,0.730222222,0
4.5,6.8,19.2,10.2,17,5.8,101.8,0.445432061,0.732039359,10.2,25.8,5,13.2,5,105.8,0.464611503,0.770789932,1
6.5,7.4,24.2,10.6,16.6,4,104.6,0.426416185,0.797748538,9.4,25.4,7.6,13.6,5,108.2,0.474129475,0.762635489,1
13.5,8.2,20.6,7.4,15.4,4.4,94,0.439863673,0.757981398,7.6,28,7.2,13.6,4.4,103.8,0.522567066,0.728439861,1
5.5,12.2,25.6,9.4,15.2,4.8,105.6,0.444445907,0.670757919,9,21.4,10.8,16,4.2,105.2,0.451354364,0.831055901,1
9,5.6,18.4,11,15,5.4,99.8,0.437739754,0.726844554,10.4,22.4,10.6,19.4,6.4,95.6,0.458067539,0.687692308,1
-3.5,5.6,23.4,9.6,13.2,9,98.4,0.459154073,0.838910213,10.6,23.4,6.4,16.6,5.8,96.6,0.405877448,0.695213675,1
7.5,9.4,20.6,7.4,14.4,3.8,96.4,0.431516085,0.762743302,6.2,21.6,6.8,17,3.6,98.6,0.455908703,0.714454359,1
-6.5,6.8,19.4,8.6,18.6,6.4,107.2,0.462496836,0.675842861,6.8,22.6,6.6,19,5.2,99.2,0.437544869,0.742254462,1
5.5,4.6,17.8,6,14.2,5,92.6,0.421197608,0.717192118,6.2,21.4,8,13.4,5.4,101.4,0.479123089,0.794395604,0
6.5,7.4,16.4,6.6,13.4,3.8,97.6,0.416783261,0.832531638,4.2,20.8,6.2,15.8,3.6,93,0.467125197,0.79313781,0
8.5,8.8,21,9.2,16.2,7.8,96.8,0.420705882,0.761854008,7.6,25,10.2,16.6,4.2,104.2,0.421141924,0.822894737,1
4.5,8.8,18.8,8.2,13.4,5,93.6,0.416289607,0.733244001,8.2,29,9.4,12.2,5.6,104.4,0.464335366,0.696150444,0
10.5,12.2,25.8,9,15.6,4.4,104.2,0.445211865,0.679277188,8,24.4,8.4,13.4,5,101.2,0.474745998,0.745454545,1
9.5,11,24.6,6.8,17.8,5.2,98.8,0.431876595,0.69045177,8.4,19.8,6,15.2,4,100.8,0.434739041,0.731714908,1
-2.5,4.8,22,9.8,12.4,6,96.4,0.441439787,0.812936187,3.6,16,7.6,17,4.4,84,0.395764454,0.713797101,1
7,9.8,19,9.8,18,5.2,102.2,0.472644969,0.714791941,9.6,25.4,5.8,14.8,4.4,105,0.481613634,0.810789932,1
-4,6,22,8.2,16.2,4.2,98,0.461314502,0.75055924,6.2,19.2,8.8,12.4,2.6,92.8,0.42363338,0.825416667,1
4.5,5.2,21.4,7.8,17.8,6.4,103.2,0.443480468,0.816028146,7.8,26.2,8.6,13.4,4.4,108,0.484129475,0.719358178,1
-1.5,8.4,22,8.8,19.4,8.8,107,0.45208017,0.668959141,9.4,19.6,8,11,4,96.4,0.428287493,0.728848396,0
5,5,23.6,9.2,18,5.8,107.6,0.466934284,0.811243457,9.8,22.4,10,20.4,5.6,98.6,0.47543596,0.699230769,1
14,9.2,20.2,7.2,16.6,3.8,93.6,0.437371941,0.773973249,7,23.2,6.8,14.6,6.8,95.6,0.470006633,0.772334369,1
1,3.6,22.6,7.6,16.8,5.2,91.8,0.430617671,0.856880492,7.8,16.2,8.2,13,4.8,99.2,0.423209463,0.838126044,0
8.5,8,24.6,7.2,16.8,6.2,105.8,0.450585469,0.770871314,7.4,28.2,7.8,13,6.2,102,0.466355568,0.740839089,1
-1.5,9.2,22.6,6.2,14.8,3.6,100,0.453835856,0.753581694,6.2,21.6,7.2,13,4.6,100.4,0.46016205,0.771728938,0
6,4.6,18.4,6,13.8,5.2,93.6,0.41936834,0.773858785,8.8,20.2,8,13.8,5.6,97.2,0.411699797,0.751464398,0
8.5,9.6,22.8,10.2,16.8,3.8,104,0.468973412,0.793984962,8.6,29,7,13.2,5.4,107.4,0.543500374,0.683995416,1
-2,8.8,27.6,8,15,4.2,110.6,0.458557596,0.84148448,8.4,21.6,7,16,4.6,103.4,0.442011768,0.749202984,1
1,5,20.6,7.6,15.6,4.6,95,0.439865434,0.767653257,8,18,9.8,16.2,4.8,100.8,0.478691481,0.705001731,0
-10,8.8,24.6,6.8,13.6,4,99.2,0.483021444,0.715454545,4.6,17.2,8.2,17.2,5.2,88.6,0.422932476,0.710720178,0
-3.5,4.8,21.6,6.2,15.8,4.2,90.6,0.467433579,0.753318805,10.2,24.4,5.8,17.8,6.2,97.8,0.421963635,0.681221001,0
2,4.8,17.4,11.4,13.6,5,97.2,0.428415202,0.718511221,6.6,20.2,9,11.8,2.2,94,0.419728182,0.829492754,0
-8.5,7.4,26,9,13.2,5.2,108.8,0.545894196,0.71732875,4.6,19.6,5.8,12.6,5.8,90.4,0.414861298,0.751954023,0
-2.5,9.4,20.4,10.4,19.2,4.4,100.2,0.464718092,0.793984962,6.6,21.8,6.8,17,4.4,96,0.446892534,0.711856957,0
7.5,7.2,20,8,15,6.4,92.4,0.403300691,0.747186323,10.8,24.4,9.6,13.4,4.6,101.4,0.432373484,0.687231734,0
4,7.8,28,6.8,13.2,5.8,103.6,0.466355568,0.755975565,9.2,19.4,7.8,9.6,4.4,97.6,0.425756174,0.72258059,0
